id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
51e0ded5-d395-4abb-971d-40e3c25167da,lxxxiii.red,available,9.48,28.48,medium,low,7,namecheap,,,
d1a59721-a19c-48ac-93d2-dd3c43b8ec66,boat.red,available,14.99,,high,low,4,name.com,,,
c953932f-84d4-48e7-8dfd-eca78b0339d5,successful.red,available,14.99,,high,low,10,name.com,,,
2fd38840-c970-4dce-81e0-e1b8f582bba7,aligning.red,available,9.48,28.48,medium,low,8,namecheap,,,
3e11255e-3fd3-4ad0-9793-57c60e6953ac,prompting.red,available,14.99,,high,low,9,name.com,,,
b65704ac-6ffa-43bc-99d7-2b473b96c1bf,shorts.red,available,14.99,,high,low,6,name.com,,,
0acb9116-d545-4d65-a178-d72292e3504d,kangeroo.red,available,14.99,,high,low,8,name.com,,,
49f99f2f-70e3-4ba5-8a7d-207f6b4cb0fe,riyadh.red,available,14.99,,high,low,6,name.com,,,
d9098f19-1222-41d7-b91c-2445008df92a,mindless.red,available,9.48,28.48,medium,low,8,namecheap,,,07/08/2026 02:48
d79c2804-b009-4800-a733-ad93e45a2660,apiarian.red,available,9.48,28.48,medium,low,8,namecheap,,,05/08/2026 23:53
5cb24979-7150-403a-b7d3-212c24582458,reunion.red,available,14.99,,high,medium,7,name.com,,,
9300b39d-9f9a-4f5e-bb5b-02e6b8e8b8cd,sale.red,resell,,,high,low,4,"Spaceship, Inc.",05/11/2021 14:30,05/11/2026 14:30,
07ae5f1f-9263-4bc7-b487-befe76d496ce,souse.red,available,9.48,28.48,medium,low,5,namecheap,,,
c8cbdfcc-fd8d-4912-9659-3289990d5f2d,corps.red,available,14.99,,high,low,5,name.com,,,
3b1ae9e1-7288-43ca-af75-848689a4d3ab,assuming.red,available,9.48,28.48,high,low,8,namecheap,,,07/08/2026 08:16
8500c10e-4fce-4704-b772-72eb0e34e968,revelatory.red,available,9.48,28.48,high,low,10,namecheap,,,06/08/2026 00:55
9baed39a-029c-4ac6-a37a-c71ebc716f12,located.red,available,14.99,,high,low,7,name.com,,,
068a3541-211c-4174-acc7-2ba7b2262c78,relationship.red,available,14.99,,high,low,12,name.com,,,
6f08dab4-7f2f-4f66-b575-7a5afb9877e7,lunch.red,available,14.99,,high,low,5,name.com,,,
96051f2b-8dae-4082-a991-2d492a59a004,afterwards.red,available,9.48,28.48,medium,low,10,namecheap,,,
ada924bc-a281-4511-b51b-e1f07ec2a348,californian.red,available,14.99,,high,low,11,name.com,,,
dc0ce552-1cdd-4869-a613-6e22b75ec91c,tobacco.red,available,14.99,,medium,low,7,name.com,,,
71f68c0a-e412-43fc-bb10-f312ed71db2d,packing.red,available,14.99,,high,low,7,name.com,,,
e49abb61-4454-4d90-8c83-8dd520ddd6c1,tire.red,available,14.99,,high,low,4,name.com,,,
02dc4f3f-ba3f-49c6-9eff-48a7617a8986,drown.red,available,14.99,,medium,low,5,name.com,,,
bcd01269-06b3-44bd-95bf-c8810d45b496,majestic.red,available,14.99,,high,low,8,name.com,,,
ae2805f7-299e-494f-a627-9c8b4c016cf5,dandy.red,available,9.48,28.48,high,low,5,namecheap,,,08/08/2026 12:30
21774a93-c10d-4470-9cb7-518e632e15cb,accuser.red,available,14.99,,high,low,7,name.com,,,
e19bfaaa-a2d0-48e6-b629-c8086e7bc952,articled.red,available,9.48,28.48,medium,low,8,namecheap,,,06/08/2026 08:28
f3b00250-fcfd-4d5b-8424-bb344c4bad0e,grubby.red,available,9.48,28.48,medium,low,6,namecheap,,,09/08/2026 09:31
e5848998-886d-4088-890a-164c9a8a7e5c,liii.red,available,9.48,28.48,medium,low,4,namecheap,,,
6f412f27-624c-4172-b729-0a713cebb805,rarefy.red,available,9.48,28.48,medium,low,6,namecheap,,,07/08/2026 15:31
c1167d1b-b980-4579-9ec4-e09f0ab09cfd,glass.red,premium,625,,high,low,5,name.com,,,
07e4129e-f50d-4ecf-abf9-46f0a0be8e84,jot.red,available,14.99,,high,low,3,name.com,,,
93d544a8-305c-4f4a-916f-207bdb1754ae,wakening.red,available,14.99,,high,low,8,name.com,,,
aee1a08d-76df-488a-8beb-1bc630186f08,certain.red,available,14.99,,high,low,7,name.com,,,
8260c70e-0719-4961-8871-589d0d177b2c,tilted.red,available,9.48,28.48,high,low,6,namecheap,,,07/08/2026 13:29
e0a3d552-9dda-4d42-be44-126651c6bff8,rideshare.red,available,14.99,,high,low,9,name.com,,,
f78b0157-1ada-4b0e-a663-a5bdab50e952,covid.red,available,14.99,,high,low,5,name.com,,,
46ef883b-e11f-4cb3-80d6-1db7eb82dd8a,disapproval.red,available,14.99,,medium,low,11,name.com,,,
8fbbaa75-4a48-42b8-a1f4-a639dc99826a,beady.red,available,9.48,28.48,medium,low,5,namecheap,,,09/08/2026 03:23
83b0d3af-3564-4e1f-b334-ca3b88bf199b,detoxify.red,available,14.99,,high,low,8,name.com,,,
